OID,PID
0,208
0,108
0,108
1,475
1,475
1,475
1,557
1,557
1,923
1,923
1,923
2,346
2,693
2,693
3,206
3,206
3,206
3,295
3,295
3,295
3,675
3,675
4,581
4,202
4,202
4,202
4,842
4,842
4,373
4,373
4,131
5,246
5,246
5,246
5,497
6,621
6,621
6,621
6,348
6,348
6,1023
7,271
7,271
7,271
8,553
8,553
8,553
8,510
8,510
8,510
8,788
8,788
8,495
8,495
8,495
9,500
9,619
10,576
10,576
10,67
10,16
10,16
11,881
12,1000
12,1000
13,287
13,287
13,287
13,437
13,1028
13,1028
13,1028
13,754
14,694
14,694
14,910
14,910
14,578
14,109
15,309
15,309
15,309
15,217
15,526
16,795
16,795
16,593
16,593
16,646
16,646
16,646
16,983
16,983
17,600
17,152
17,152
18,657
18,657
19,809
19,809
19,618
19,618
20,900
20,736
21,979
21,979
21,795
21,795
21,30
21,101
21,101
22,118
23,596
23,728
23,728
23,358
23,358
23,358
24,233
24,233
24,233
24,570
24,81
24,81
24,274
25,170
25,170
25,170
26,871
26,871
27,386
27,386
27,775
27,775
27,775
28,411
28,411
28,67
28,834
28,834
29,989
29,904
29,904
29,904
29,104
29,104
29,573
29,475
30,562
30,177
30,177
30,177
30,520
30,942
30,942
30,61
30,61
31,586
31,586
31,1020
31,552
31,552
32,982
32,679
32,679
32,25
32,25
32,25
33,859
33,859
33,859
33,934
33,934
33,934
33,558
33,558
33,734
33,820
34,900
34,1026
34,1026
34,189
34,189
34,189
35,341
35,272
35,272
35,272
35,350
35,350
35,350
35,189
35,268
35,268
35,268
36,346
36,346
36,346
36,809
36,809
36,809
36,436
36,436
36,335
36,335
36,335
37,1015
37,1015
37,561
37,561
37,561
37,878
37,878
37,878
37,506
38,940
38,940
38,940
39,645
39,645
39,645
40,96
41,219
41,888
41,888
41,5
41,614
41,614
42,948
42,948
42,948
42,339
43,47
43,573
43,573
43,573
43,791
44,604
44,903
44,903
44,899
44,899
44,490
44,490
44,490
45,825
45,738
45,738
46,121
46,121
46,31
46,31
46,31
46,180
46,180
46,180
46,525
46,525
46,489
46,489
46,489
47,607
47,607
47,793
47,793
47,793
47,147
48,386
48,386
48,386
48,558
48,558
49,604
49,604
50,983
50,983
50,983
50,923
50,923
50,923
51,758
51,758
51,758
51,444
52,86
52,682
53,172
53,172
53,172
54,841
54,841
54,755
54,755
54,755
54,784
54,784
55,800
55,85
55,44
55,44
55,73
55,680
55,680
56,917
56,917
56,321
56,321
56,321
56,573
56,573
56,69
57,1013
57,1013
57,1013
57,489
57,489
57,489
57,465
57,465
57,870
57,870
58,299
59,646
59,646
59,567
59,567
59,567
59,735
59,735
59,735
59,887
59,887
59,887
59,670
59,670
59,670
60,784
60,784
60,784
60,424
60,19
60,19
60,19
60,896
60,635
60,635
60,635
61,175
61,175
61,175
61,956
62,1019
62,1019
62,210
62,657
62,657
62,827
62,827
62,45
62,45
63,970
63,970
64,598
64,598
65,310
65,912
65,912
65,912
66,275
66,275
66,781
66,781
66,36
66,220
66,220
67,547
67,547
67,21
67,21
67,21
68,715
68,668
68,668
68,206
68,702
68,702
68,702
68,584
68,584
68,584
69,889
69,591
69,591
70,163
70,163
70,188
70,188
70,188
71,863
71,863
72,314
72,938
72,218
72,218
72,604
72,604
72,604
73,335
73,919
74,87
74,87
74,87
74,134
74,134
74,1003
74,1003
74,1003
75,840
75,840
75,335
75,335
75,561
76,434
76,434
76,434
76,155
76,155
76,155
76,868
76,868
76,868
76,676
76,994
77,218
77,218
77,218
77,185
77,185
77,185
77,494
77,494
78,857
78,857
78,857
79,278
79,724
79,724
79,327
79,327
79,327
80,975
80,975
80,975
81,199
81,199
81,690
81,690
81,690
81,235
81,235
81,235
81,853
81,853
81,258
82,226
82,747
82,747
82,899
82,899
82,899
82,180
82,180
82,180
83,584
83,584
83,584
83,921
84,320
84,320
85,897
85,897
85,354
85,354
85,354
85,119
85,119
85,213
85,803
86,420
86,420
86,539
86,539
86,539
87,841
87,841
88,583
88,583
88,583
88,380
88,380
89,1027
89,1027
89,1027
89,366
89,366
89,24
89,24
89,24
90,82
91,301
91,301
91,124
91,124
91,124
92,466
92,466
92,898
92,898
92,246
92,246
92,883
92,883
93,285
93,285
93,493
93,62
94,506
94,147
94,147
94,147
95,424
95,424
95,476
95,476
95,542
95,753
96,729
96,1018
96,1018
96,1018
97,123
97,123
97,123
97,601
97,601
97,311
97,311
97,238
98,1000
98,1000
98,974
98,974
98,974
99,763
100,700
100,700
100,700
100,542
100,542
100,542
100,536
100,536
100,536
100,789
100,792
100,792
100,792
101,729
101,729
101,729
101,682
101,682
101,682
101,112
102,835
102,977
102,977
102,977
103,396
103,396
103,324
103,324
103,278
103,896
104,561
104,561
105,736
105,736
105,736
106,321
106,321
106,72
107,996
107,838
107,838
107,653
107,653
107,859
107,859
107,52
107,52
108,619
108,619
108,419
108,419
108,419
108,995
108,995
108,84
109,250
109,250
110,54
110,54
110,187
110,187
110,187
111,75
111,75
111,790
111,790
111,790
112,991
112,934
112,934
112,934
112,947
112,947
112,965
112,965
112,965
113,907
113,907
113,907
113,224
114,458
114,458
114,455
114,455
114,455
114,972
114,972
114,972
114,389
114,389
114,389
114,47
114,47
114,47
115,960
115,960
115,960
115,336
115,336
116,766
117,840
117,840
117,840
118,995
118,995
118,418
119,175
119,175
119,175
119,902
119,902
119,902
120,691
120,657
120,657
120,657
120,1002
120,1002
120,1002
120,169
120,169
120,722
121,595
121,27
121,569
121,569
121,569
121,981
121,981
121,981
121,251
121,251
121,251
122,105
122,105
122,105
122,472
123,459
123,459
123,377
123,377
123,892
123,892
124,311
124,582
124,582
124,100
124,100
124,100
124,365
124,365
124,40
124,40
124,40
125,186
125,874
125,874
125,874
125,546
125,546
125,110
125,110
126,356
126,217
126,217
126,217
127,54
127,54
127,54
127,248
127,196
127,196
127,196
128,699
128,699
128,699
128,686
128,313
128,313
129,914
129,914
129,914
129,906
129,786
129,1012
129,1012
130,418
130,418
130,418
130,482
130,729
131,92
131,92
131,92
131,762
131,762
131,603
131,813
131,813
132,793
132,793
132,435
132,435
132,435
132,261
132,261
132,53
132,53
132,53
133,61
133,265
134,453
134,453
134,453
134,705
135,243
135,243
135,243
135,782
135,782
135,967
135,967
135,967
135,319
135,319
135,605
135,605
136,911
136,911
136,981
137,226
137,226
137,226
137,370
137,370
137,370
138,129
138,129
138,511
138,511
138,899
139,1003
140,692
140,692
140,692
141,784
141,784
141,505
141,505
141,985
141,787
142,569
142,569
142,569
142,79
142,79
142,79
143,1003
143,1003
143,1003
143,585
143,585
143,130
143,130
143,112
143,343
143,343
143,343
144,739
144,739
144,739
144,101
144,101
144,101
144,821
145,4
145,378
145,378
145,475
145,475
145,540
145,325
146,9
146,744
146,141
146,727
146,727
147,308
147,308
147,308
148,421
148,247
148,247
148,135
148,953
148,62
149,630
150,796
150,796
150,796
150,502
150,502
150,502
150,388
150,388
150,800
150,938
150,938
150,938
151,345
151,345
151,751
151,751
151,751
151,402
151,402
151,402
152,946
153,757
153,757
153,757
153,925
153,925
153,925
154,82
154,82
154,82
154,546
155,433
155,433
155,433
155,147
155,147
155,147
155,734
156,766
156,766
156,766
156,792
157,323
157,323
158,772
158,821
158,821
158,821
158,957
158,552
159,924
159,924
159,924
160,854
160,854
160,854
160,101
160,101
160,587
160,587
161,466
161,602
161,51
161,51
161,51
161,640
162,111
162,111
162,111
162,19
162,19
162,19
163,435
163,435
163,435
163,694
163,694
163,241
164,245
164,245
164,245
164,190
164,190
164,676
164,676
165,179
165,179
165,711
166,578
166,578
167,647
167,645
167,645
167,645
167,313
167,313
167,313
168,166
168,166
168,747
168,747
168,747
168,1004
168,892
168,892
168,770
169,164
169,816
169,816
169,816
170,60
170,60
170,60
170,502
170,502
170,502
171,419
171,419
171,126
171,27
171,27
171,613
171,154
171,154
171,154
172,560
172,560
173,625
173,625
173,625
173,386
173,386
173,386
173,724
174,320
174,320
174,253
174,253
174,533
174,533
174,675
174,675
174,675
175,350
175,350
175,643
176,225
176,225
177,816
177,816
177,816
177,537
177,537
177,537
177,882
177,882
177,679
177,609
177,609
177,609
178,51
178,322
178,322
178,583
178,583
179,1006
179,1006
179,1006
179,876
179,876
179,876
179,699
179,699
180,525
180,974
181,542
181,542
181,542
182,900
182,900
183,616
183,616
183,891
183,891
183,215
183,225
183,225
184,765
184,765
185,382
186,111
186,111
187,974
187,974
187,946
187,12
187,12
187,12
187,977
187,977
188,54
188,54
188,54
188,76
188,76
188,76
188,219
188,219
188,219
188,120
188,120
188,120
189,865
189,7
190,191
190,173
190,173
190,173
190,743
191,721
191,645
191,790
191,790
191,683
191,683
191,683
192,481
192,358
192,604
192,604
192,790
193,806
193,213
193,631
193,631
193,52
194,642
195,359
195,359
195,359
195,820
195,820
195,820
195,95
195,95
195,95
196,907
196,907
196,907
197,100
198,367
198,918
198,918
198,448
198,448
198,448
199,384
199,670
199,670
199,670
199,998
